Highlight,Title,Author,URL,Note,Location,Date
"Er is inmiddels een berg aan wetenschappelijk bewijs dat vrij, risicovol spel goed is voor de fysieke en mentale gezondheid van kinderen.","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,,11,2025-10-04 22:37:00
"Spelen, schreef de historicus Johan Huizinga al in 1938, geeft het leven zin.","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,,12,2025-10-04 18:29:00
"alles verandert als je niet uitgaat van wantrouwen, maar vanVakmanschap en competentie worden de belangrijkste waarden, in plaats van rendement en productiviteit. Stel je voor wat dat zou betekenen voor andere functies en beroepen. CEO’s gaan aan de slag omdat ze geloven in hun bedrijf, academici gaan overuren draaien omdat ze nieuwsgierig zijn, leraren gaan lesgeven omdat ze zich verantwoordelijk voelen voor hun leerlingen, psychologen behandelen zo lang als nodig is om hun cliënt beter te maken en bankiers halen voldoening uit hun rol als dienstverlener","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,,13,2025-10-04 15:34:00
"Als je werknemers behandelt alsof ze verantwoordelijk en betrouwbaar zijn, dan zijn ze dat ook.","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,Zobrist (fransman),14,2025-10-04 15:31:00
"bestuurders houden van moeilijk. ‘Want dat maakt je baan interessanter’, legt De Blok uit. ‘Endan kun je zeggen: zie je wel, ik ben nodig om die complexiteit te regelen.’
Zou het kunnen dat een groot deel van wat we de ‘kenniseconomie’ noemen zo in elkaar zit? Dat hoogopgeleide managers en consultants eenvoudige dingen zo complex mogelijk maken, zodat zij weer nodig zijn om die complexiteit te managen? Stiekem denk ik weleens dat dit het verdienmodel is van zowel bankiers op de Zuidas als van postmoderne filosofen die schrijven in een onbegrijpelijk jargon. Ze maken eenvoudige zaken zo ingewikkeld mogelijk.","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,minder top-down controle (management) en meer vertrouwen zorgt voor hogere kwaliteit werk. intrinsieke motivatie > extrinsieke (straf en beloning).,15,2025-10-04 15:23:00
"Uit een groot onderzoek onder 230.000 werknemers in 142 landen bleek een paar jaar geleden dat slechts 13 procent zich ‘geëngageerd’ voelt op zijn werk.17 13 procent. Als je zulke cijfers tot je door laat dringen, dan besef je hoeveel ambitie en energie we nu laten liggen.","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,,16,2025-10-04 15:16:00
"Maar in grote, moderne organisaties lijken sociopaten het juist iets beter te doen op de carrièreladder. Uit sommige studies blijkt dat 4 tot 8procent van de CEO’s kan worden gediagnosticeerd met sociopathie, vergeleken met 1 procent onder de gewone bevolking.37 In een ‘democratie’ kan schaamteloosheid al helemaal van pas komen. Politici die geen last hebben van schaamte kunnen namelijk dingen doen die voor anderen simpelweg onmogelijk zijn. Waar anderen zich rot voor zouden schamen.","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,"Problematic incentive structure. As he calls it ""survival of the shameless"",  where being shameless and a morally questionable compass allows them more benefits and power.",17,2025-10-02 22:27:00
Rousseau merkte al op dat onze regeringsvorm eigenlijk een ‘electieve aristocratie’ is. In werkelijkheid zijn de burgers namelijk niet aan de macht.,"meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,,18,2025-10-02 22:21:00
"Mythes hielpen ons om op enorme schaal samen te werken met miljoenen vreemdelingen.
Grote beschavingen zijn volgens deze theorie een kwestie van grote verbeeldingskracht","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,,19,2025-10-01 22:58:00
Deze theorie kan mogelijk ook verklaren waarom mannen doorgaans lager scoren op empathietesten dan vrouwen. In 2018 bleek uit een grote studie van de Universiteit van Cambridge dat hier geen genetische verklaring voor is.15 Het lijkt vooral te maken te hebben met wat wetenschappers ‘socialisatie’ noemen.Oftewel: we leven in een samenleving waarin de macht zo is verdeeld dat vrouwen voortdurend hun best moeten doen om mannen (die vaak hogere posities hebben) te begrijpen.,"meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,Goede studies? Meta-analyse? Gaat tegen veel mensen in die zeggen dat persoonlijkheidsverschillen een psychplogische basis heeft.,20,2025-10-01 22:34:00
"machtige mensen hebben dezelfde neigingen.10 Ze gedragen zich alsof ze hersenletsel hebben opgelopen. Letterlijk. Ze zijn impulsiever, egoïstischer, roekelozer, arroganter,narcistischer en grover dan gemiddeld. Ze gaan vaker vreemd, luisteren minder goed en hebben minder oogvoor het perspectief van een ander. Ze zijn ook schaamtelozer, en laten die ene gezichtsuitdrukking die mensen uniek maakt in het dierenrijk zelden zien.
Ze blozen niet.","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,,21,2025-09-30 22:19:00
Het mechanisme dat ons de aardigste én de wreedste soort op de planeet heeft gemaakt. Het is een ongemakkelijke waarheid:empathie en xenofobie zijn twee kanten van dezelfde medaille.,"meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,,22,2025-09-30 21:47:00
"Volgens de psycholoog is empathie geen warme zon die de wereld verlicht.Empathie is een schijnwerper. Een zoeklicht. Het is gericht op een specifieke persoon of een enkele groep uit je eigen leefwereld. Terwijl je de emoties van de enkelin-g opzuigt, verdwijnt de rest van de wereld naar de achtergrond.","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,Weerhoudt ons van rationele morele beslissingen.,23,2025-09-30 21:45:00
"In de praktijk is empathie een hopeloos beperkte emotie, aldus professor Bloom.
Empathie voelen we vooral voor mensen die dicht bij ons staan.","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,meet empathie is niet het antwoord. Beleid moet dus ook niet dit als basis hebben.,24,2025-09-28 18:17:00
"Ook als we net doen alsof iedereen gelijk is, en verschillen in huidskleur, uiterlijk en rijkdom niet bestaan, dan nóg zien kinderen verschil.","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,,25,2025-09-27 22:48:00
"Een Amerikaanse soldaat vocht niet uit patriottisme, ontdekten de wetenschappers, en een Britse soldaat dacht vrijwel nooit aan de democratische rechtsstaat.De jongens vochten niet voor hun vaderland, ze vochten voor hun maten.","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,,26,2025-09-25 22:48:00
mensen in 90 procent van degevallen elkaar helpen.,"meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,Op basis van observationeel onderzoek. Door Marie Lindegaard.,27,2025-09-25 22:29:00
"Als er sprake is van een levensgevaarlijke situatie (iemand verdrinkt of iemand wordt aangevallen) en als de omstanders met elkaar kunnen communiceren (en dus niet in een afgesloten hok zitten), is er juist sprake van een omgekeerd omstanderseffect. ‘Een groter aantal omstanders’, schrijven de onderzoekers, ‘leidt zelfs tot meer in plaats van minder hulp.’","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,,28,2025-09-25 22:28:00
"In het boek Eichmann in Jeruzalem van Hannah Arendt staat een fascinerende passage over de redding van de Deense Joden. ‘Het is het enige geval’, schreef de filosoof, ‘waarin nazi’s openlijke weerstand ondervonden van de plaatselijke bevolking, en het resultaat lijkt te zijn geweest dat zij […] van houding veranderden. Blijkbaar beschouwden zij de vernietiging van een heel volk niet meer als vanzelfsprekend. Zij hadden weerstand ondervonden die gebaseerd was op principes, en hun “hardheid” was gesmolten als boter in de zon…’48","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,,29,2025-09-22 23:57:00
"Verzet is een vaardigheid. ‘Wat Milgrams helden onderscheidt’, concludeert Hollander,‘is een grotendeels doceerbare competentie in het verzet tegen dubieuze autoriteit.’39","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,,30,2025-09-22 23:50:00
Helaas hebben we de simpele conclusies van Stanley Milgram (de mens laat zich gedachteloos meeslepen door het kwaad) beter onthouden dan de gelaagde filosofie van Hannah Arendt (de mens laat zich verleiden door het kwaad dat goed lijkt).,"meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,,31,2025-09-22 23:48:00
"Hannah Arendt was een van die zeldzame filosofen die geloofde dat de meeste mensen deugen.36Ze stelde dat onze behoefte aan liefde en vriendschap menselijker is dan ons verlangen naar haat en geweld.En als mensen voor het kwaad kiezen, vervolgde ze,dan voelen ze alsnog de behoefte zich te verschuilen achter leugens en clichés die suggereren dat het kwade toch goed is.","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,,32,2025-09-22 23:45:00
"In de 1.300 pagina’s aan interviews, vol verknipte ideeën en fantasieën, wordt voor iedere lezer duidelijk dat Eichmann geen gedachteloze bureaucraat was. Hij was juist een fanaticus. Hij handelde niet uit onverschilligheid, maar uit overtuiging. Net als Milgrams proefpersonen deed hij het kwade omdat hij dacht dat het goed was.","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,,33,2025-09-22 23:39:00
"Te veel milieuactivisten onderschatten de weerbaarheid van de mens. En ik vrees dat hun cynisme een zelfvervullende profetie kan zijn, een nocebo waar je moedeloos van wordt, en waardoor de opwarming alleen maar sneller zal verlopen.","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,,34,2025-09-21 22:27:00
de geschiedenis wordt geschreven door de overwinnaars. De oudste boeken en geschriften staan vol met propaganda van staten en machthebbers.Ze zijn geschreven door onderdrukkers die zichzelf ophemelden en neerkeken op de rest.,"meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,,35,2025-09-20 19:10:00
"‘Geen Europeaan die het Wilde Leven heeft geproefd’, schreef Franklin, ‘kan het daarna nog verdragen om in onze samenleving te leven.’","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,Benjamin Franklin. Mooi geschreven.,36,2025-09-20 19:04:00
"Wat we tegenwoordig ‘mijlpalen van beschaving’ noemen – de uitvinding van het geld,het schrift en de rechtspraak – waren aanvankelijk mijlpalen van onderdrukking","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,,37,2025-09-20 19:01:00
Rousseau had namelijk óók gelijk toen hij schreef dat landbouwers een stuk ongezonder waren dan jagers en verzamelaars,"meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,herhaling van Harari's Sapiens. Landbouw is niet zo zeer een positieve ontwikkeling geweest.,38,2025-09-19 22:42:00
de oerman was waarschijnlijk geen macho.Hij was eerder een protofeminist,"meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,,39,2025-09-17 22:27:00
"‘Oorlog gaat niet eindeloos terug in de tijd’,concludeert de vooraanstaande archeoloog Brian Ferguson. ‘Het had een begin.’","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,Waarom zou je elkaar afslachten als omstandigheden bar zijn?,40,2025-09-17 22:15:00
"Wat gebeurt er als we een samenleving bestuderen zonder nederzettingen, zonder landbouw en zonder paarden – een samenleving die model kan staan voor hoe we leefden in de prehistorie?
Je voelt hem waarschijnlijk al aankomen: dan blijkt oorlog een zeldzaamheid. Nomadische jagers en verzamelaars houden nu eenmaal niet van geweld,concludeerde Douglas Fry toen hij in 2013 een lijst van representatieve samenlevingen opstelde voor hettijdschrift Science.43 Nomaden lossen conflicten liever op door ze uit te praten of naar een andere vallei te verkassen.","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,Opposed to perspective of Yuval Harari in Sapiens,41,2025-09-17 22:09:00
De vooraanstaande primatoloog Robert Sapolsky concludeert dat apen ons weinig kunnen leren over hoe we vroeger zelf waren: ‘Het is een leeg debat.’,"meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,,42,2025-09-17 21:56:00
"Als een wetenschapper de mens als moordzuchtige aap neerzette, werd die studie meestal wel opgepikt door journalisten. Maar als een collega stelde dat het juist meeviel, luisterde bijna niemand.","meeste mensen deugen. Een nieuwe geschiedenis van de mens, De",Rutger Bregman,,People are more interested in controversy. Problematic incentive structures.,43,2025-09-16 22:44:00
"I was beginning to learn his body English. His hand tightened on mine and he indicated that he wanted to leave.
I led him to the front porch, where his uneasy stepshalted. He was still holding my hand and he gave no sign of letting me go.
“Will you take me home?”
He almost whispered it, in the voice of a child afraid of the dark.",To Kill a Mockingbird,Harper Lee,,,1,2025-10-25 23:41:00
Atticus was right. One time he said you never really know a man until you stand in his shoes and walk around in them. Just standing on the Radley porch was enough.,To Kill a Mockingbird,Harper Lee,,,2,2025-10-25 23:39:00
"“An‘ they chased him ’n‘ never could catch him ’cause they didn’t know what he looked like, an‘Atticus, when they finally saw him, why he hadn’t done any of those things… Atticus, he was real nice…”
His hands were under my chin, pulling up the cover, tucking it around me.
“Most people are, Scout, when you finally see them.”",To Kill a Mockingbird,Harper Lee,,,3,2025-10-25 23:38:00
"If there’s just one kind of folks, why can’t they get along with each other? If they’re all alike,why do they go out of their way to despise each other?",To Kill a Mockingbird,Harper Lee,,,4,2025-10-20 22:05:00
"Naw, Jem, I think there’s just one kind of folks. Folks",To Kill a Mockingbird,Harper Lee,,,5,2025-10-20 22:05:00
"“Well how do you know we ain’t Negroes?”
“Uncle Jack Finch says we really don’t know. He says as far as he can trace back the Finches we ain’t, but for all he knows we mighta come straight out of Ethiopia durin‘ the Old Testament.”",To Kill a Mockingbird,Harper Lee,,,6,2025-10-19 17:26:00
"folks don’t like to have somebody around knowin‘ more than they do. It aggravates ’em. You’re not gonna change any of them by talkin‘ right, they’ve got to want to learn themselves,and when they don’t want to learn there’s nothing you can do but keep your mouth shut or talk their language",To Kill a Mockingbird,Harper Lee,,,7,2025-10-18 11:32:00
"it is time for us to reclaim our right to a full night of sleep, without embarrassment or the damaging stigma of laziness. In doing so, we can be reunited with that most powerful elixir of wellness and vitality, dispensed through every conceivable biological pathway. Then we may remember what it feels like to be truly awake during the day, infused with the very deepest plenitude of being.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,1,2025-10-12 19:38:00
This silent sleep loss epidemic is the greatest public health challenge we face in the twenty-first century in developed nations.,Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,2,2025-10-12 19:37:00
"Rather than required hours with relatively hard boundaries (i.e., the classic nine to five), businesses need to adapt a far more tapered vision of hours of operation, one that resembles a squished inverted-U shape. Everyone would be present during a core window for key interactions—say, twelve to three p.m. Yet there would be flexible tail ends either side to accommodate all individual chronotypes.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,3,2025-10-12 15:14:00
"Based on recent surveys and clinical evaluations, we estimate that more than 50percent of all children with an ADHD diagnosis actually have a sleep disorder, yet a small fraction know of their sleep condition and its ramifications.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,4,2025-10-12 14:47:00
"It is clear that a tired, under-slept brain is little more than a leaky memory sieve, in no state to receive,absorb, or efficiently retain an education.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,5,2025-10-12 14:41:00
"One longitudinal study tracked more than 5,000 Japanese schoolchildren and discovered that those individuals who were sleeping longer obtained better grades across the board. Controlled sleep laboratory studies in smaller samples show that children with longer total sleep times develop superior IQ, with brighter children having consistently slept forty to fifty minutes more than those who went on to develop a lower IQ.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,6,2025-10-12 14:37:00
"Published in his seminal papers and book Genetic Studies of Genius, Terman found that no matter what the age, the longer a child slept, the more intellectually gifted they were. He further found that sleep time was most strongly connected to a reasonable (i.e., a later) school start time: one that was in harmony with the innate biological rhythms of these young, still-maturing brains.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,7,2025-10-12 14:35:00
It is the lack of REM sleep—that critical stage occurring in the final hours of sleep that we strip from our children and teenagers by way of early school start times—that creates the difference between a stable and unstable mental state.,Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,8,2025-10-12 14:33:00
"In the mid-1990s, NASA refined the science of sleeping on the job for the benefit of their astronauts. They discovered that naps as short as twenty-six minutes in length still offered a 34 percent improvement in task performance and more than a 50 percent increase in overall alertness.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,9,2025-10-12 14:23:00
"in the days after a supervisor had slept poorly, the employees themselves, even if well rested, became less engaged in their jobs throughout that day as a consequence. It was a chain-reaction effect, one in which the lack of sleep in that one superordinate person in a business structure was transmitted on like a virus, infecting even well-rested employees with work dis",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,10,2025-10-12 14:18:00
Insufficient sleep robs most nations of more than 2 percent of their GDP—amounting to the entire cost of each country’s military.,Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,11,2025-10-11 22:21:00
"for healthy sleep, the scientific evidence suggests that you should avoid going to bed too full or too hungry, and shy away from diets that are excessively biased toward carbohydrates (greater than 70 percent of all energy intake), especially sugar.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,12,2025-10-11 22:16:00
"In younger, healthy adults, exercise frequently increases total sleep time, especially deep NREM sleep.It also deepens the quality of sleep, resulting in more powerful electrical brainwave activity.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,13,2025-10-11 22:13:00
Individuals taking sleeping pills were 30 to 40 percent more likely to develop cancer within the two-and-a-half-year period of the study than those who were not.,Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,14,2025-10-11 21:58:00
Those taking sleeping pills were 4.6 times more likely to die over this short two-and-a-half-year period than those who were not using sleeping pills.,Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,15,2025-10-11 21:57:00
"A bedroom temperature of around 65 degrees Fahrenheit (18.3°C) is ideal for the sleep of most people, assuming standard bedding and clothing. This surprises many, as it sounds just a little too cold for comfort.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,16,2025-10-09 22:05:00
"sleep helped the brainautomate the movement routines, making them second nature—effortless—precisely the goal of many an Olympic coach when perfecting the skills of their elite athletes.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,17,2025-09-15 23:24:00
"but when I wake up the next morning and sit back down at the piano, I can just play, perfectly",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,18,2025-09-15 23:20:00
"forgetting is not just beneficial to delete stored information we no longer need. It also lowers the brain resources required for retrieving those memories we want to retain, similar to the ease of finding important documents on a neatly organized,clutter-free desk.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,19,2025-09-15 23:08:00
"sleep protects newly acquired information, affording immunity against forgetting: an operation called consolidation.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,20,2025-09-15 23:01:00
"In that moment, we had just become privy to an electrical transaction occurring in the quiet secrecy of sleep: one that was shifting fact-based memories from the temporary storage depot (the hippocampus) to a long-term secure vault (the cortex).",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,21,2025-09-15 22:59:00
Shakespeare prophetically states that sleep is “the chief nourisher in life’s feast.”,Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,22,2025-09-14 22:19:00
"By the time you reach seventy years old, you will have lost 80 to 90 percent of your youthful deep sleep.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,23,2025-09-14 22:00:00
"That older adults simply need less sleep is a myth.Older adults appear to need just as much sleep as they do in midlife, but are simply less able to generate that (still necessary) sleep.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,24,2025-09-14 21:59:00
"Should you ever have to give a presentation at work, for your own sake—and that of the conscious state of your listeners—if you can,avoid the midafternoon slot.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,25,2025-09-12 22:17:00
"The practice of biphasic sleep is not cultural in origin, however. It is deeply biological. All humans,irrespective of culture or geographical location, have a genetically hardwired dip in alertness that occurs in the midafternoon hours.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,26,2025-09-12 22:16:00
"Humans are not sleeping the way nature intended. The number of sleep bouts, the duration of sleep, and when sleep occurs have all been comprehensively distorted by modernity.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,27,2025-09-07 23:01:00
"Many of the explanations for why we sleep circle around a common, and perhaps erroneous, idea: sleep is the state we must enter in order to fix that which has been upset by wake.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,28,2025-09-05 22:35:00
"When it comes to information processing, think of the wake state principally asreception (experiencing and constantly learning the world around you), NREM sleep as reflection (storing and strengthening those raw ingredients of new facts and skills), and REM sleep as integration (interconnecting these raw ingredients with each other, with all past experiences, and, in doing so, building an ever more accurate model of how the world works,including innovative insights and problem-solving abilities).",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,29,2025-09-05 19:27:00
"Each and every night, REM sleep ushers you into a preposterous theater wherein you are treated to a bizarre, highly associative carnival of autobiographical themes",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,30,2025-09-05 19:26:00
vehicular accidents caused by drowsy driving exceed those caused by alcohol and drugs combined.,Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,,31,2025-08-29 23:34:00
Kripke discovered that individuals using prescription sleep medications are significantly more likely to die and to develop cancer than those who do not.,Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,Is this correlational or causal?,32,2025-10-11 21:51:00
a chronic lack of sleep across the season predicted a massively higher risk of injury,Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,"within-person ""causal"" effect or between-person effect. Are those with less sleep more prone to injury or do people becomes less accident prone the more they sleep?",33,2025-09-27 22:50:00
"It is perhaps unsurprising that in the small enclaves of Greece where siestas still remain intact, such as the island of Ikaria, men are nearly four times as likely to reach the age of ninety as American males.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,"remarkable. These blue zones are probably disappearing even more, given economic pressures",34,2025-09-12 22:23:00
"The more powerful and frequent an individual’s sleep spindles, the more resilient they are to external noises that would otherwise awaken the sleeper.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,Can this be trained?,35,2025-09-05 19:18:00
"Also be aware that de-caffeinated does not mean non-caffeinated. One cup of decaf usually contains 15 to 30 percent of the dose of a regular cup of coffee, which is far from caffeine-free.Should you drink three to four cups of decaf in the evening, it is just as damaging to your sleep as one regular cup of coffee.",Why We Sleep_ Unlocking the Power of Sleep and Dreams,Matthew Walker,,Pretty shocking.,36,2025-09-03 22:27:00
